Child,Parent
G-13 Haze,G-13
G-13 Haze,Haze
G-13 Haze NYC Diesel,G-13 Haze
G-13 Haze NYC Diesel,NYC Diesel
Green Ribbon,Green Crack
Green Ribbon,Trainwreck x Afgoo
Trainwreck x Afgoo,Trainwreck
Trainwreck x Afgoo,Afgoo
Hells Angel OG,OG Kush
Hells Angel OG,Blackberry
Humboldt Snow,Humboldt
Humboldt Snow,Snow White
KC 33,Thailand (KC 33 Parent)
KC 33,Brazil (KC 33 Parent)
Lemon Thai,Thailand Sativa (Lemon Thai Parent)
Lemon Thai,Hawaii (Lemon Thai Parent)
Lost Coast OG,Pakistan (Lost Coast OG Parent) x Thailand (Lost Coast OG Parent)
Lost Coast OG,Chem Dawg
Pakistan (Lost Coast OG Parent) x Thailand (Lost Coast OG Parent),Pakistan (Lost Coast OG Parent)
Pakistan (Lost Coast OG Parent) x Thailand (Lost Coast OG Parent),Thailand (Lost Coast OG Parent)
Hawaiian Haze,Haze
Hawaiian Haze,Hawaii (Hawaiian Haze Parent)
Mk-Ultra,G-13
Mk-Ultra,OG Kush
Motavation,Sensi Star
Motavation,Warlock
Nevil's Wreck,Arcata Trainwreck
Nevil's Wreck,Neville's Haze
Northern Lights x Haze,Northern Lights
Northern Lights x Haze,Unknown Haze (Northern Lights x Haze)
Orange Velvet,Skunk #1
Orange Velvet,Unknown Strain (Orange Velvet Parent)
Oriental Express,Trainwreck
Oriental Express,Thailand (Oriental Express)
Original Diesel,Chem Dawg
Original Diesel,MassSuperSkunk x Northern Lights
MassSuperSkunk x Northern Lights,MassSuperSkunk
MassSuperSkunk x Northern Lights,Northern Lights
Original Sour Diesel,Sour Diesel
Original Sour Diesel,Sour OG
UK Cheese,Cheese
UK Cheese,Skunk #1
Pineapple 99,Pineapple
Pineapple 99,Cinderella 99
Purple Afghani,Purple Kush
Purple Afghani,Afghani
Purple Elephant,Purple Urkel
Purple Elephant,Unknown Strain (Purple Elephant Parent)
Purple Kush,Hindu Kush
Purple Kush,Purple Afghani
Rare Darkness,Grape Ape
Rare Darkness,Rare Dankness #1
S.A.G.E.,Unknown Haze (S.A.G.E. Parent)
S.A.G.E.,Afghanistan (S.A.G.E. Parent)
Short Term Amnesia,Amnesia Haze
Short Term Amnesia,Lowryder
Skywalker,Mazar
Skywalker,Blueberry
Starfighter,Lemon Alien Dawg
Starfighter,Tahoe Alien
Strawberry Diesel,NYC Diesel
Strawberry Diesel,Strawberry Cough
Sugar Plum,Berkeley Blues
Sugar Plum,Hawaiian Haze
Sweet Pink Grapefruit,Grapefruit
Sweet Pink Grapefruit,Unknown Strain (Sweet Pink Grapefruit Parent)
The Black,Afghanistan (The Black Parent)
The Black,Nepal (The Black Parent) x Hawaii (The Black Parent)
Nepal (The Black Parent) x Hawaii (The Black Parent),Nepal (The Black Parent)
Nepal (The Black Parent) x Hawaii (The Black Parent),Hawaii (The Black Parent)
Tres Dawg,Chem Dawg
Tres Dawg,Double Dawg
West Coast Dawg,Chem Dawg
West Coast Dawg,"USA, Humboldt (West Coast Dawg Parents)"
White Moonshine,The White
White Moonshine,Blue Moonshine
William's Wonder,Unknown Indica (William's Wonder Parent)
William's Wonder,Unknown Indica (William's Wonder Parent)
Willie Nelson,Vietnamese Black
Willie Nelson,Highland Nepalese
#1,Unknown Hybrid (#1 Parent)
#1,Unknown Ruderalis (#1 Parent)
Mass,Critical Mass
Mass,Lowryder
Afghan\/Skunk,Afghani
Afghan\/Skunk,Skunk #1
Berkeley Blues,Berkeley
Berkeley Blues,Blueberry
Diesel Ryder,NYC Diesel
Diesel Ryder,Lowryder #2
Double Dawg,Chem Dawg
Double Dawg,Chem Dawg x Afghani
Chem Dawg x Afghani,Chem Dawg
Chem Dawg x Afghani,Afghani
Hash Plant x Northern Lights,Hash Plant
Hash Plant x Northern Lights,Northern Lights
HTAF,Thailand (HTAF Parent)
HTAF,Afghani
Las Vegas Purple Kush,Northern Lights
Las Vegas Purple Kush,Hindu Kush
Lemon Alien Dawg,Alien Dawg
Lemon Alien Dawg,Lemon Kush
P75,Princess
P75,P50
Purple Thai,The Hog
Purple Thai,O.G. Chocolate Thai
Snow White,Northern Special x White Widow
Snow White,Cinderella 99
Northern Special x White Widow,Northern Special
Northern Special x White Widow,White Widow
Tahoe Alien,Tahoe OG
Tahoe Alien,Alien Kush
Warlock,Skunk #1 x Skunk #1
Warlock,Afghanistan (Warlock Parent)
Skunk #1 x Skunk #1,Skunk #1
Skunk #1 x Skunk #1,Skunk #1
Berkeley,South African Land Race (Berkeley Parent)
Berkeley,South African Land Race (Berkeley Parent)
Lowryder #2,Santa Maria
Lowryder #2,Lowryder #2
P50,Princess
P50,Shiva Skunk x Jack Herer
Shiva Skunk x Jack Herer,Shiva Skunk
Shiva Skunk x Jack Herer,Jack Herer
